model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,C(hour_of_week)[T.34],0.38640148049195683,0.04544736327972309,6.706712557236625e-08,0.2912790559380635,0.48152390504585013
transactions,C(hour_of_week)[T.35],0.4279639209967649,0.04905738010700146,4.523768641793026e-08,0.32528564438655916,0.5306421976069706
transactions,C(hour_of_week)[T.36],0.45894978533140074,0.04113794856297183,8.783837971538772e-10,0.372847069440089,0.5450525012227125
transactions,C(hour_of_week)[T.37],0.521553807088742,0.039251553225340435,4.548946448674989e-11,0.43939936201521645,0.6037082521622675
transactions,C(hour_of_week)[T.38],0.5432144638824811,0.05862056138478812,1.7690759514257997e-08,0.4205202188212007,0.6659087089437614
transactions,C(hour_of_week)[T.39],0.4950612903009878,0.049752357458930155,5.700575435407068e-09,0.3909284093759263,0.5991941712260492
transactions,C(hour_of_week)[T.40],0.47432550769799575,0.05099647115920117,1.6685707112923452e-08,0.36758866687184816,0.5810623485241434
transactions,C(hour_of_week)[T.41],0.4276200504924054,0.057635873491759505,5.037426673340179e-07,0.30698678087731857,0.5482533201074923
transactions,C(hour_of_week)[T.42],0.39540519747265324,0.05752319970501286,1.4762973897196901e-06,0.2750077568035284,0.5158026381417781
transactions,C(hour_of_week)[T.43],0.33773613422052773,0.06258185721805797,3.3031824103857966e-05,0.20675080169358617,0.4687214667474693
transactions,C(hour_of_week)[T.44],0.30013192618856555,0.051842996868436866,1.4084015246311157e-05,0.19162328669031256,0.4086405656868185
transactions,C(hour_of_week)[T.45],0.21920114960807707,0.05326594372123272,0.0005889193604509502,0.10771424811877776,0.33068805109737637
transactions,C(hour_of_week)[T.46],0.18078164931073706,0.05287203539665097,0.0028765441962142787,0.07011920742001905,0.2914440912014551
transactions,C(hour_of_week)[T.47],0.18181448880687323,0.05393915441246193,0.003209969059786267,0.06891854114714635,0.2947104364666001
transactions,C(hour_of_week)[T.48],0.13189889771338292,0.0540679070850754,0.02468507813950025,0.018733467612806684,0.24506432781395915
transactions,C(hour_of_week)[T.49],0.14125668546653608,0.03801173383791608,0.0014648605952414984,0.06169721219401146,0.2208161587390607
transactions,C(hour_of_week)[T.50],0.06430098314955496,0.047915821753516136,0.19542796451655328,-0.03598798436729522,0.16458995066640514
transactions,C(hour_of_week)[T.51],0.04711052191180559,0.04873717570528974,0.34587582264296146,-0.05489755918329006,0.14911860300690125
transactions,C(hour_of_week)[T.52],0.08135527083036942,0.048969812799583255,0.11305800427603777,-0.021139725299030215,0.18385026695976905
transactions,C(hour_of_week)[T.53],0.11478665972114843,0.056817284040945326,0.05768015133887265,-0.004133282482699452,0.23370660192499632
transactions,C(hour_of_week)[T.54],0.16573212128760217,0.05598697087781434,0.008039040754531929,0.0485500445068793,0.2829141980683251
transactions,C(hour_of_week)[T.55],0.19874247251865385,0.048760622205108024,0.0006442714974902354,0.09668531733544684,0.30079962770186086
transactions,C(hour_of_week)[T.56],0.30679259493223876,0.0380075343590579,1.4670503835491045e-07,0.2272419112699803,0.38634327859449724
transactions,C(hour_of_week)[T.57],0.35976022669350877,0.041711497398154884,5.387704911177452e-08,0.272457059293781,0.44706339409323653
transactions,C(hour_of_week)[T.58],0.374422095840208,0.047082990747520204,1.8311318073129227e-07,0.2758762636521644,0.47296792802825166
transactions,C(hour_of_week)[T.59],0.3664284809424258,0.05636237484424335,3.14843815535519e-06,0.24846067462984672,0.4843962872550049
transactions,C(hour_of_week)[T.60],0.4165240457570257,0.059880914104775224,1.2526606245355772e-06,0.29119185213577337,0.541856239378278
transactions,C(hour_of_week)[T.61],0.4492445859924213,0.06284442721767106,8.547795221091298e-07,0.3177096881403235,0.580779483844519
transactions,C(hour_of_week)[T.62],0.5027662075623925,0.06972567711803843,7.564909955634701e-07,0.35682868814443114,0.648703726980354
transactions,C(hour_of_week)[T.63],0.4897140473711711,0.05723271379723648,6.085536196728877e-08,0.36992460069448885,0.6095034940478533
transactions,C(hour_of_week)[T.64],0.4424894586504418,0.05708780895879218,2.6717319742864476e-07,0.3230033012862236,0.56197561601466
transactions,C(hour_of_week)[T.65],0.42001478204806275,0.05940397560561672,9.972998958312043e-07,0.29568083217802255,0.544348731918103
transactions,C(hour_of_week)[T.66],0.38434889766596947,0.05037339097965734,3.3616141396595754e-07,0.27891617864343216,0.4897816166885068
transactions,C(hour_of_week)[T.67],0.30583933036378225,0.05068924073825468,8.361442671189088e-06,0.1997455301989216,0.4119331305286429
transactions,C(hour_of_week)[T.68],0.31189360632641705,0.06305478989007968,8.96206499232245e-05,0.17991841434081846,0.44386879831201564
transactions,C(hour_of_week)[T.69],0.20836410002764544,0.05186087529747378,0.0007357461784520673,0.09981804054736315,0.3169101595079277
transactions,C(hour_of_week)[T.70],0.15866822376554435,0.049148281536644536,0.004423627053925755,0.055799688276515574,0.2615367592545731
transactions,C(hour_of_week)[T.71],0.11756057320111596,0.059499727735748596,0.0628803395154201,-0.006973788180551069,0.24209493458278297
transactions,C(hour_of_week)[T.72],0.11798352034307275,0.05168280634535963,0.03413046164307213,0.009810163462908666,0.22615687722323682
transactions,C(hour_of_week)[T.73],0.1106003615448985,0.048808813910438974,0.03532448104481886,0.008442339963210851,0.21275838312658613
transactions,C(hour_of_week)[T.74],0.06917972577477782,0.061630731899209375,0.2756402437169741,-0.05981487858105686,0.1981743301306125
transactions,C(hour_of_week)[T.75],0.06971709251004943,0.06038751141382755,0.26261196544685944,-0.056675421464947945,0.1961096064850468
transactions,C(hour_of_week)[T.76],0.07684322028704021,0.060889964847750416,0.22222077420079447,-0.050600940811377754,0.20428738138545818
transactions,C(hour_of_week)[T.77],0.1636770448504622,0.057984096822452244,0.010869776604466995,0.04231493542792927,0.2850391542729951
transactions,C(hour_of_week)[T.78],0.21033584537136263,0.061085204382481946,0.002723842248974323,0.08248304323038008,0.3381886475123452
transactions,C(hour_of_week)[T.79],0.2442428560938369,0.053453522959923096,0.00020955528557608575,0.13236334674585104,0.35612236544182274
transactions,C(hour_of_week)[T.80],0.3061645248109994,0.05075701684534369,8.390720135121493e-06,0.19992886762368733,0.4124001819983115
transactions,C(hour_of_week)[T.81],0.3736939827033808,0.051460241169867645,6.843398854358627e-07,0.265986460089195,0.48140150531756654
transactions,C(hour_of_week)[T.82],0.40991096147640066,0.055811359492532193,5.823332875269549e-07,0.2930964435493013,0.5267254794035
transactions,C(hour_of_week)[T.83],0.40945817190628686,0.05774796365025329,9.586688214507633e-07,0.2885902948932101,0.5303260489193636
transactions,C(hour_of_week)[T.84],0.4562993470992149,0.06263951243545221,6.546122944899126e-07,0.325193340815405,0.5874053533830248
transactions,C(hour_of_week)[T.85],0.5121464766213644,0.05008049346593817,3.6647566561951202e-09,0.40732679914051767,0.6169661541022111
transactions,C(hour_of_week)[T.86],0.5570240485709155,0.06819601776518257,1.229191929530109e-07,0.414288142973532,0.699759954168299
transactions,C(hour_of_week)[T.87],0.5308403768780238,0.05949249214914017,3.1925953321309295e-08,0.40632115975317595,0.6553595940028716
transactions,C(hour_of_week)[T.88],0.5271055319066392,0.05994880242098449,4.007809091712539e-08,0.4016312464065476,0.6525798174067308
transactions,C(hour_of_week)[T.89],0.46243758279503094,0.062471536742521434,5.205577556732475e-07,0.3316831536770811,0.5931920119129808
transactions,C(hour_of_week)[T.90],0.37604417745309854,0.05888819370177293,3.9972409911061245e-06,0.25278977151463194,0.49929858339156513
transactions,C(hour_of_week)[T.91],0.3654218694386106,0.055776187593248795,2.839442950677148e-06,0.24868096714275062,0.4821627717344706
