event_id,destination_group,period,hours,mean_transactions,mean_volume,mean_active_senders,total_transactions,total_volume
E020,cex_bound,anticipatory,24,1385.75,94735938.3346395,1359.4166666666667,33258,2273662520.031348
E020,cex_bound,baseline,144,1007.6041666666666,72358312.76166934,980.6666666666666,145095,10419597037.680386
E020,cex_bound,post,144,1033.173611111111,77672778.55998705,1005.5833333333334,148777,11184880112.638136
E020,cex_bound,recovery,18,1028.5,87511173.3886947,1009.3333333333334,18513,1575201120.9965045
E020,cex_bound,shock,7,749.2857142857143,81813729.42468517,698.4285714285714,5245,572696105.9727962
E020,non_cex,anticipatory,24,4679.833333333333,197127150.26260868,2302.0833333333335,112316,4731051606.3026085
E020,non_cex,baseline,144,4399.472222222223,205904015.10719177,2254.1944444444443,633524,29650178175.435616
E020,non_cex,post,144,4188.027777777777,218647355.61964235,2204.5069444444443,603076,31485219209.228497
E020,non_cex,recovery,18,3919.8333333333335,200715097.9732255,1898.3333333333333,70557,3612871763.5180593
E020,non_cex,shock,7,6098.428571428572,379293260.8748397,2418.714285714286,42689,2655052826.123878
E027,cex_bound,anticipatory,24,1409.125,112098813.40621807,1358.1666666666667,33819,2690371521.7492337
E027,cex_bound,baseline,144,1247.4097222222222,99580903.97663265,1206.0625,179627,14339650172.635103
E027,cex_bound,post,143,1405.076923076923,114054667.07470565,1359.2307692307693,200926,16309817391.682907
E027,cex_bound,recovery,18,1506.2777777777778,123611032.3662845,1450.4444444444443,27113,2224998582.593121
E027,cex_bound,shock,7,1055.0,77729173.9318944,1017.5714285714286,7385,544104217.5232608
E027,non_cex,anticipatory,24,5564.833333333333,310143284.4765528,2872.5833333333335,133556,7443438827.437266
E027,non_cex,baseline,144,5056.416666666667,232060663.4997559,2684.0694444444443,728124,33416735543.964848
E027,non_cex,post,143,5607.0489510489515,258413934.16908595,2862.041958041958,801808,36953192586.17929
E027,non_cex,recovery,18,5951.444444444444,305923981.0818636,2984.6111111111113,107126,5506631659.473544
E027,non_cex,shock,7,4907.142857142857,201967402.0415666,2355.285714285714,34350,1413771814.2909663
E030,cex_bound,anticipatory,24,1546.6666666666667,136660986.13393167,1501.2916666666667,37120,3279863667.21436
E030,cex_bound,baseline,144,1538.9652777777778,118986303.99806578,1489.9583333333333,221611,17134027775.721474
E030,cex_bound,post,143,1432.5944055944055,120784261.21284288,1386.4195804195804,204861,17272149353.43653
E030,cex_bound,recovery,18,1078.6666666666667,87720692.57890148,1036.888888888889,19416,1578972466.4202268
E030,cex_bound,shock,7,1446.2857142857142,197999541.93657494,1388.0,10124,1385996793.5560246
E030,non_cex,anticipatory,24,6207.791666666667,340103008.21427757,2904.75,148987,8162472197.142662
E030,non_cex,baseline,144,5641.305555555556,302499334.30503845,2787.340277777778,812348,43559904139.92554
E030,non_cex,post,143,5529.895104895105,303001359.8703034,3239.6573426573427,790775,43329194461.453384
E030,non_cex,recovery,18,4785.777777777777,256177485.81590334,2345.8333333333335,86144,4611194744.68626
E030,non_cex,shock,7,6830.428571428572,437160463.68119544,3129.285714285714,47813,3060123245.7683682
E034,cex_bound,anticipatory,24,1642.5833333333333,169599065.26409528,1633.5416666666667,39422,4070377566.3382864
E034,cex_bound,baseline,144,1237.763888888889,105888251.68876271,1246.7152777777778,178238,15247908243.18183
E034,cex_bound,post,143,1246.2447552447552,131167087.22641562,1243.3006993006993,178213,18756893473.377434
E034,cex_bound,recovery,18,1092.1666666666667,116651483.76395068,1113.0,19659,2099726707.7511122
E034,cex_bound,shock,7,1422.5714285714287,195312617.96094343,1401.142857142857,9958,1367188325.726604
E034,non_cex,anticipatory,24,4916.541666666667,371594145.4546826,2525.1666666666665,117997,8918259490.912382
E034,non_cex,baseline,144,5202.659722222223,263945315.0407859,2627.5763888888887,749183,38008125365.87317
E034,non_cex,post,143,5330.160839160839,310711984.05899346,2628.3426573426573,762213,44431813720.436066
E034,non_cex,recovery,18,3976.3333333333335,187628550.42796153,2067.4444444444443,71574,3377313907.7033076
E034,non_cex,shock,7,5859.714285714285,451211237.7942844,2822.8571428571427,41018,3158478664.559991
E044,cex_bound,anticipatory,24,1046.5416666666667,94372845.9355393,1013.9166666666666,25117,2264948302.4529433
E044,cex_bound,baseline,144,1257.0625,162967957.03740752,1205.9444444444443,181017,23467385813.386684
E044,cex_bound,post,143,1310.86013986014,142523853.04954112,1270.5454545454545,187453,20380910986.08438
E044,cex_bound,recovery,18,1361.7222222222222,169274242.67472082,1333.7777777777778,24511,3046936368.1449747
E044,cex_bound,shock,7,1437.857142857143,230756795.00076333,1394.4285714285713,10065,1615297565.0053432
E044,non_cex,anticipatory,24,5122.458333333333,234818934.87852132,2571.25,122939,5635654437.084512
E044,non_cex,baseline,144,5916.201388888889,370779357.5206019,2993.9375,851933,53392227482.966675
E044,non_cex,post,143,5850.258741258741,322978891.6836048,2992.125874125874,836587,46185981510.755486
E044,non_cex,recovery,18,5287.944444444444,323093735.8678482,2770.0555555555557,95183,5815687245.621268
E044,non_cex,shock,7,7109.142857142857,558718302.214098,3479.4285714285716,49764,3911028115.498686
E047,cex_bound,anticipatory,24,1389.4583333333333,104719330.62651332,1355.7916666666667,33347,2513263935.0363197
E047,cex_bound,baseline,144,1518.951388888889,178749784.4482487,1467.9583333333333,218729,25739968960.547813
E047,cex_bound,post,143,1294.7762237762238,143046170.54120192,1260.055944055944,185153,20455602387.391872
E047,cex_bound,recovery,18,1405.0,216791024.1878049,1365.111111111111,25290,3902238435.3804884
E047,cex_bound,shock,7,1425.0,349536473.5860502,1361.5714285714287,9975,2446755315.1023517
E047,non_cex,anticipatory,24,5632.541666666667,249686075.2779601,2787.9166666666665,135181,5992465806.671042
E047,non_cex,baseline,144,6518.576388888889,417198727.03509027,3308.722222222222,938675,60076616693.053
E047,non_cex,post,143,5779.874125874126,347736346.07375133,2947.6293706293704,826522,49726297488.54644
E047,non_cex,recovery,18,5822.666666666667,423360483.2459808,2999.3333333333335,104808,7620488698.427654
E047,non_cex,shock,7,6888.571428571428,699687706.5643467,3282.5714285714284,48220,4897813945.950427
E052,cex_bound,anticipatory,24,1895.5833333333333,341244574.3670497,1808.2916666666667,45494,8189869784.809193
E052,cex_bound,baseline,144,1681.1319444444443,313781780.8351507,1599.0972222222222,242083,45184576440.2617
E052,cex_bound,post,143,1722.5384615384614,439593772.02497244,1639.2447552447552,246323,62861909399.57106
E052,cex_bound,recovery,18,1896.7777777777778,913908624.2397509,1807.3333333333333,34142,16450355236.315516
E052,cex_bound,shock,7,1809.2857142857142,592701714.256447,1742.2857142857142,12665,4148911999.795129
E052,non_cex,anticipatory,24,8638.625,710924915.6032721,3942.0,207327,17062197974.47853
E052,non_cex,baseline,144,7708.611111111111,650933823.8377652,3703.8263888888887,1110040,93734470632.6382
E052,non_cex,post,143,7837.034965034965,796972079.3525255,3710.4545454545455,1120696,113967007347.41115
E052,non_cex,recovery,18,8835.611111111111,823837387.6386986,4117.722222222223,159041,14829072977.496574
E052,non_cex,shock,7,8052.142857142857,864119067.6329783,3601.285714285714,56365,6048833473.430848
E054,cex_bound,anticipatory,24,1134.1666666666667,193003562.59962013,1081.5833333333333,27220,4632085502.390883
E054,cex_bound,baseline,144,1885.9027777777778,237742355.5069009,1822.8680555555557,271570,34234899192.993732
E054,cex_bound,post,143,1530.7902097902097,255652469.41805187,1459.097902097902,218903,36558303126.78142
E054,cex_bound,recovery,18,1573.5,394743256.77355343,1512.0,28323,7105378621.923962
E054,cex_bound,shock,7,976.1428571428571,93708556.34184754,939.5714285714286,6833,655959894.3929328
E054,non_cex,anticipatory,24,5290.708333333333,404107945.0081716,2540.8333333333335,126977,9698590680.19612
E054,non_cex,baseline,144,7023.048611111111,588051416.7423607,3330.8333333333335,1011319,84679404010.89995
E054,non_cex,post,143,6991.027972027972,622656086.0487138,3400.5104895104896,999717,89039820304.96608
E054,non_cex,recovery,18,7533.166666666667,726434336.7674329,3774.722222222222,135597,13075818061.813793
E054,non_cex,shock,7,3936.714285714286,301380337.41718525,2032.5714285714287,27557,2109662361.920297
