model,term,coefficient,standard_error,p_value,ci_lower,ci_upper
transactions,C(hour_of_week)[T.89],1.167438409547008,0.29617421977819214,8.089646395344548e-05,0.5869476056325009,1.7479292134615152
transactions,C(hour_of_week)[T.90],0.9995120128545596,0.33037140246880137,0.0024828866404561782,0.3519959624937218,1.6470280632153975
transactions,C(hour_of_week)[T.91],1.011026243592443,0.2760927839141318,0.00025034423102665863,0.4698943307293453,1.552158156455541
transactions,C(hour_of_week)[T.92],0.8758966202007894,0.2885016205690787,0.0023972365512852072,0.31044383440395507,1.4413494059976237
transactions,C(hour_of_week)[T.93],0.7585079340030519,0.32468274825782895,0.0194833719417343,0.12214144101622226,1.3948744269898816
transactions,C(hour_of_week)[T.94],0.34758915894176723,0.2684259109653046,0.19534901297630392,-0.178515959067585,0.8736942769511195
transactions,C(hour_of_week)[T.95],0.2862635757939194,0.30777385947741825,0.3523140809403795,-0.316962104164712,0.8894892557525509
transactions,C(hour_of_week)[T.96],0.1879842034820241,0.29397414232330327,0.5225248368880584,-0.3881945278577023,0.7641629348217505
transactions,C(hour_of_week)[T.97],0.13657345461183984,0.3029988550042538,0.6521775426019392,-0.4572933885533715,0.7304402977770512
transactions,C(hour_of_week)[T.98],0.36505726159239626,0.3264810789231587,0.2634997392125338,-0.2748338947307737,1.0049484179155663
transactions,C(hour_of_week)[T.99],0.6211119501805399,0.3052873728126281,0.04189962821394358,0.02275969453293636,1.2194642058281433
transactions,C(hour_of_week)[T.100],0.5314694683564913,0.43697760218349646,0.22389365890632784,-0.32499089397383296,1.3879298306868155
transactions,C(hour_of_week)[T.101],0.4181810517592538,0.29959860641472574,0.16277340635156223,-0.16902142663199948,1.0053835301505072
